TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
覃 	覃 	yǎn 	yemX 	y- 	-jem 	rising 	*N-r[a]mʔ 	pointed, sharp
衍 	衍 	yǎn 	yenX 	y- 	-jen 	rising 	*N-qanʔ {*N-q(r)anʔ} 	overflow
演 	演 	yǎn 	yenX 	y- 	-jen 	rising 	*lerʔ {*[ɢ][a][r]ʔ} 	flow out, extend
晏 	晏 	yàn 	ʔænH 	ʔ- 	-æn 	departing 	*ʔˁ‹r›an-s {*ʔˁ‹r›a[n]-s} 	peace, rest
鴳 	鴳 	yàn 	ʔænH 	ʔ- 	-æn 	departing 	*ʔˁ‹r›ar-s {*ʔˁ‹r›a[r]-s} 	a kind of quail
晏 	晏 	yàn 	ʔenH 	ʔ- 	-en 	departing 	*ʔˁen-s {*ʔˁe[n]-s} 	rest (v.)
燕 	燕 	yàn 	ʔenH 	ʔ- 	-en 	departing 	*ʔˁen-s {*ʔˁe[n]-s} 	swallow (n.)#
燕 	燕 	yàn 	ʔenH 	ʔ- 	-en 	departing 	*ʔˁen-s {*ʔˁe[n]-s} 	feast
宴 	宴 	yàn 	ʔenH 	ʔ- 	-en 	departing 	*ʔˁen-s {*ʔˁe[n]-s} 	feast (n.)
咽 	咽 	yàn 	ʔenH 	ʔ- 	-en 	departing 	*ʔˁin-s {*ʔˁi[n]-s} 	swallow (v.)
饜 	餍 	yàn 	ʔjemH 	ʔ- 	-jem 	departing 	*ʔ‹r›em-s 	satiated
雁 	雁 	yàn 	ngænH 	ng- 	-æn 	departing 	*C.ŋˁrar-s {*C.[ŋ]ˁrar-s} 	kind of wild goose
鴈 	鴈 	yàn 	ngænH 	ng- 	-æn 	departing 	*ŋˁrar-s 	wild goose
硯 	砚 	yàn 	ngenH 	ng- 	-en 	departing 	*ŋˁer-s {*[ŋ]ˁe[r]-s} (‹ uvular) 	smooth stone; inkstone
讞 	谳 	yàn 	ngjenH 	ng- 	-jen 	departing 	*ŋar-s {*ŋ(r)ar-s} 	announce a verdict
諺 	谚 	yàn 	ngjenH 	ng- 	-jen 	departing 	*ŋran-s {*ŋra[n]-s} 	saying, proverb
讞 	谳 	yàn 	ngjet 	ng- 	-jet 	entering 	*ŋat {*ŋ(r)at} 	announce a sentence (of a court)
鬳 	鬳 	yàn 	ngjonH 	ng- 	-jon 	departing 	*ŋar-s 	boiler
鹽 	盐 	yàn 	yemH 	y- 	-jem 	departing 	*N.rom-s {*N.r[o]m-s} 	salt (n.)
爓 	爓 	yàn 	yemH 	y- 	-jem 	departing 	*ɢom-s {*[ɢ]om-s} 	brightness
央 	央 	yāng 	ʔjang 	ʔ- 	-jang 	even 	*ʔaŋ 	end (v.)
央 	央 	yāng 	ʔjang 	ʔ- 	-jang 	even 	*ʔaŋ 	center (n.)
殃 	殃 	yāng 	ʔjang 	ʔ- 	-jang 	even 	*ʔaŋ 	calamity
鴦 	鸯 	yāng 	ʔjang 	ʔ- 	-jang 	even 	*ʔaŋ 	female mandarin duck
昜 	昜 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	bright
揚 	扬 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	raise
楊 	杨 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	poplar
瘍 	疡 	yáng 	yang 	y- 	-jang 	even 	*laŋ {*[l]aŋ} 	sore, ulcer
鍚 	钖 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	ornament on a horse's forehead
陽 	阳 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	bright
颺 	飏 	yáng 	yang 	y- 	-jang 	even 	*laŋ 	tossed by the wind
洋 	洋 	yáng 	yang 	y- 	-jang 	even 	*ɢaŋ {*ɢ(r)aŋ} 	'great expanse of water'
痒 	痒 	yáng 	yang 	y- 	-jang 	even 	*ɢaŋ {*[ɢ](r)aŋ} 	disease; suffer
羊 	羊 	yáng 	yang 	y- 	-jang 	even 	*ɢaŋ 	sheep
痒 	痒 	yáng 	zjang 	z- 	-jang 	even 	*s-ɢaŋ {*s-[ɢ]aŋ} 	disease; harm
仰 	仰 	yǎng 	ngjangX 	ng- 	-jang 	rising 	*ŋaŋʔ {*[ŋ]aŋʔ} 	lift the face, look up
癢 	痒 	yǎng 	yangX 	y- 	-jang 	rising 	*Cə.ɢaŋʔ 	itch
養 	养 	yǎng 	yangX 	y- 	-jang 	rising 	*ɢaŋʔ {*[ɢ](r)aŋʔ} 	long, longing
養 	养 	yǎng 	yangX 	y- 	-jang 	rising 	*ɢaŋʔ {*[ɢ](r)aŋʔ} 	nourish, raise
羕 	羕 	yàng 	yangH 	y- 	-jang 	departing 	*ɢaŋʔ-s {*[ɢ](r)aŋʔ-s} 	long
幺 	么 	yāo 	ʔew 	ʔ- 	-ew 	even 	*ʔˁiw {*ʔˁ[i]w} 	small
夭 	夭 	yāo 	ʔjew 	ʔ- 	-jew 	even 	*ʔaw {*[ʔ](r)aw} 	CHECK
腰 	腰 	yāo 	ʔjiew 	ʔ- 	-jiew 	even 	*ʔew 	waist
爻 	爻 	yáo 	hæw 	h- 	-æw 	even 	*N-kˁraw 	change; hexagram
爻 	爻 	yáo 	hæw 	h- 	-æw 	even 	*N-kˁraw 	change; hexagram
肴 	肴 	yáo 	hæw 	h- 	-æw 	even 	*ɡˁraw {*[ɡ]ˁraw} 	food
堯 	尧 	yáo 	ngew 	ng- 	-ew 	even 	*ŋˁew {*[ŋ]ˁew} 	high
䍃 	䍃 	yáo 	yew 	y- 	-jew 	even 	*law 	eartheware
傜 	傜 	yáo 	yew 	y- 	-jew 	even 	*law 	public or military service
搖 	摇 	yáo 	yew 	y- 	-jew 	even 	*law {*l[a]w} 	shake
謠 	谣 	yáo 	yew 	y- 	-jew 	even 	*law 	sing; song
窰 	窰 	yáo 	yew 	y- 	-jew 	even 	*law 	kiln
徭 	徭 	yáo 	yew 	y- 	-jew 	even 	*law 	public or military service
窈 	窈 	yǎo 	ʔewX 	ʔ- 	-ew 	rising 	*ʔˁewʔ {*ʔˁ[e]wʔ} 	'ewX-dewX hidden; deep
約 	约 	yào 	ʔjiewH 	ʔ- 	-jiew 	departing 	*qewk-s 	bond, agreement
要 	要 	yào 	ʔjiewH 	ʔ- 	-jiew 	departing 	*ʔew-s 	important
藥 	药 	yào 	yak 	y- 	-jak 	entering 	*m-rewk {*m-r[e]wk} 	medicinal plant
曜 	曜 	yào 	yewH 	y- 	-jew 	departing 	*lewk-s 	shine
燿 	燿 	yào 	yewH 	y- 	-jew 	departing 	*lewk-s 	shine
耀 	耀 	yào 	yewH 	y- 	-jew 	departing 	*lewk-s 	shine
噎 	噎 	yē 	ʔet 	ʔ- 	-et 	entering 	*qˁik 	choke
也 	也 	yě 	yæX 	y- 	-jæ 	rising 	*lajʔ {*lAjʔ} 	(final particle)
野 	野 	yě 	yæX 	y- 	-jæ 	rising 	*laʔ {*lAʔ} 	open country
𡐨 	𡐨 	yě 	yæX 	y- 	-jæ 	rising 	*laʔ {*lAʔ} 	open country
埜 	埜 	yě 	yæX 	y- 	-jæ 	rising 	*laʔ {*lAʔ} 	open country
謁 	谒 	yè 	ʔjot 	ʔ- 	-jot 	entering 	*qat 	go to visit
業 	业 	yè 	ngjæp 	ng- 	-jæp 	entering 	*m-qʰap {*[m-qʰ](r)[a]p} 	work (n.)
業 	业 	yè 	ngjæp 	ng- 	-jæp 	entering 	*m-qʰap {*[m-qʰ](r)[a]p} 	horizontal board of a bell stand or frame
業 	业 	yè 	ngjæp 	ng- 	-jæp 	entering 	*ŋap {*[ŋ](r)[a]p} 	strong, sturdy
夜 	夜 	yè 	yæH 	y- 	-jæ 	departing 	*N.rak-s {*N.rAk-s} 	night
液 	液 	yè 	yek 	y- 	-jek 	entering 	*N.rak {*N.rAk} 	fluid
葉 	叶 	yè 	yep 	y- 	-jep 	entering 	*lap {*l[a]p} 	leaf
鷖 	鹥 	yī 	ʔej 	ʔ- 	-ej 	even 	*ʔˁij 	seagull; fabulous bird
依 	依 	yī 	ʔjɨj 	ʔ- 	-jɨj 	even 	*ʔəj 	lean upon
衣 	衣 	yī 	ʔjɨj 	ʔ- 	-jɨj 	even 	*ʔəj {*ʔ(r)əj} 	clothes
伊 	伊 	yī 	ʔjij 	ʔ- 	-jij 	even 	*ʔij 	this
咿 	咿 	yī 	ʔjij 	ʔ- 	-jij 	even 	*ʔij 	forced laugh
一 	一 	yī 	ʔjit 	ʔ- 	-jit 	entering 	*ʔit {*ʔi[t]} 	one
壹 	壹 	yī 	ʔjit 	ʔ- 	-jit 	entering 	*ʔit {*[ʔ]i[t]} 	one
疑 	疑 	yí 	ngi 	ng- 	-i 	even 	*ŋə {*[ŋ](r)ə} (‹ uvular) 	doubt
儀 	仪 	yí 	ngje 	ng- 	-je 	even 	*ŋaj {*ŋ(r)aj} 	right, proper; ceremony
宜 	宜 	yí 	ngje 	ng- 	-je 	even 	*ŋaj {*ŋ(r)aj} 	sacrifice to the deity of the soil (K)
宜 	宜 	yí 	ngje 	ng- 	-je 	even 	*ŋaj {*ŋ(r)aj} 	proper; should
移 	移 	yí 	ye 	y- 	-je 	even 	*laj 	move (v.)
匜 	匜 	yí 	ye 	y- 	-je 	even 	*laj 	ewer
迻 	迻 	yí 	ye 	y- 	-je 	even 	*laj 	move (v.)
台 	台 	yí 	yi 	y- 	-i 	even 	*lə 	I, me
怡 	怡 	yí 	yi 	y- 	-i 	even 	*lə 	cheerful
詒 	诒 	yí 	yi 	y- 	-i 	even 	*lə 	give to
貽 	贻 	yí 	yi 	y- 	-i 	even 	*lə 	to present, give
𦣞 	𦣞 	yí 	yi 	y- 	-i 	even 	*ɢə {*[ɢ](r)ə} 	chin
彝 	彝 	yí 	yij 	y- 	-ij 	even 	*ləj {*[l][ə]j} 	ritual vase
夷 	夷 	yí 	yij 	y- 	-ij 	even 	*ləj 	level, peaceful
遺 	遗 	yí 	ywij 	y- 	-wij 	even 	*ɢuj {*[ɢ](r)uj} 	leave; reject
鈶 	鈶 	yí 	ziX 	z- 	-i 	rising 	*sə.ləʔ 	handle of plough or sickle
乙 	乙 	yǐ 	ʔit 	ʔ- 	-it 	entering 	*qrət 	2nd heavenly stem
偯 	偯 	yǐ 	ʔjɨjX 	ʔ- 	-jɨj 	rising 	*ʔəjʔ 	extended wailing
倚 	倚 	yǐ 	ʔjeX 	ʔ- 	-je 	rising 	*Cə.qajʔ {*Cə.q(r)ajʔ} 	lean on
矣 	矣 	yǐ 	hiX 	h- 	-i 	rising 	*qəʔ (atonic) 	(final particle)
螘 	螘 	yǐ 	ngjɨjX 	ng- 	-jɨj 	rising 	*m-qʰəjʔ 	ant
蛾 	蛾 	yǐ 	ngjeX 	ng- 	-je 	rising 	*m-qʰajʔ {*m-qʰ(r)ajʔ} 	ant
蟻 	蚁 	yǐ 	ngjeX 	ng- 	-je 	rising 	*m-qʰajʔ {*m-qʰ(r)ajʔ} 	ant
螘 	螘 	yǐ 	ngjeX 	ng- 	-je 	rising 	*m-qʰajʔ {*m-qʰ(r)ajʔ} 	ant
錡 	锜 	yǐ 	ngjeX 	ng- 	-je 	rising 	*m.ɢajʔ {*m.ɢ(r)ajʔ} 	cooking pot
㠯 	㠯 	yǐ 	yiX 	y- 	-i 	rising 	*ləʔ 	take, use
以 	以 	yǐ 	yiX 	y- 	-i 	rising 	*ləʔ 	take, use
已 	已 	yǐ 	yiX 	y- 	-i 	rising 	*ɢəʔ 	cease; already
縊 	缢 	yì 	ʔejH 	ʔ- 	-ej 	departing 	*qˁik-s {*qˁ[i]k-s} 	strangle
意 	意 	yì 	ʔiH 	ʔ- 	-i 	departing 	*ʔək-s {*ʔ(r)ək-s} 	thought (n.)
㦤 	㦤 	yì 	ʔijH 	ʔ- 	-ij 	departing 	*q‹r›it-s {*q‹r›i[t]-s} 	excellent
㦤 	㦤 	yì 	ʔijH 	ʔ- 	-ij 	departing 	*ʔrit-s {*[ʔ]ri[t]-s} 	repress
抑 	抑 	yì 	ʔik 	ʔ- 	-ik 	entering 	*qik 	rub, repress
億 	亿 	yì 	ʔik 	ʔ- 	-ik 	entering 	*ʔək {*ʔ(r)ək} 	100000
憶 	忆 	yì 	ʔik 	ʔ- 	-ik 	entering 	*ʔək {*ʔ(r)ək} 	remember
臆 	臆 	yì 	ʔik 	ʔ- 	-ik 	entering 	*ʔək {*ʔ(r)ək} 	bosom
浥 	浥 	yì 	ʔip 	ʔ- 	-ip 	entering 	*q‹r›ip 	moist, moisten
邑 	邑 	yì 	ʔip 	ʔ- 	-ip 	entering 	*qəp {*q(r)[ə]p} 	city, town
衣 	衣 	yì 	ʔjɨjH 	ʔ- 	-jɨj 	departing 	*ʔəj-s 	wear (v.t.)
膉 	膉 	yì 	ʔjiek 	ʔ- 	-jiek 	entering 	*qek {*q[e]k} 	throat
益 	益 	yì 	ʔjiek 	ʔ- 	-jiek 	entering 	*qik (dial. › *-ek) 	increase
嗌 	嗌 	yì 	ʔjiek 	ʔ- 	-jiek 	entering 	*qik {*q[i]k} (*-ik › *-ek) 	throat
挹 	挹 	yì 	ʔjip 	ʔ- 	-jip 	entering 	*qip 	to bow; suppress
挹 	挹 	yì 	ʔjip 	ʔ- 	-jip 	entering 	*qip 	to ladle out
挹 	挹 	yì 	ʔjip 	ʔ- 	-jip 	entering 	*qip 	suppress
詣 	诣 	yì 	ngejH 	ng- 	-ej 	departing 	*ŋˁij-s {*[ŋ]ˁij-s} 	arrive
藙 	藙 	yì 	ngjɨjH 	ng- 	-jɨj 	departing 	*ŋət-s {*[ŋ]ə[t]-s} 	Zanthoxylum (Sichuan pepper)
豙 	豙 	yì 	ngjɨjH 	ng- 	-jɨj 	departing 	*ŋət-s {*[ŋ]ə[t]-s} 	enraged boar
仡 	仡 	yì 	ngjɨt 	ng- 	-jɨt 	entering 	*ŋət {*[ŋ]ət} 	great, powerful
義 	义 	yì 	ngjeH 	ng- 	-je 	departing 	*ŋaj-s {*ŋ(r)aj-s} 	duty; justice
議 	议 	yì 	ngjeH 	ng- 	-je 	departing 	*ŋaj-s {*ŋ(r)aj-s} 	discuss
㓷 	㓷 	yì 	ngjejH 	ng- 	-jej 	departing 	*ŋ‹r›at-s {*ŋ‹r›[a][t]-s} 	cut off the nose
埶 	埶 	yì 	ngjiejH 	ng- 	-jiej 	departing 	*ŋet-s I! 	to plant
藝 	艺 	yì 	ngjiejH 	ng- 	-jiej 	departing 	*ŋet-s I! 	cultivation, art, skill
蓺 	蓺 	yì 	ngjiejH 	ng- 	-jiej 	departing 	*ŋet-s I! 	to sow
乂 	乂 	yì 	ngjojH 	ng- 	-joj 	departing 	*ŋat-s {*ŋa[t]-s} 	mow, cut (v.)
乂 	乂 	yì 	ngjojH 	ng- 	-joj 	departing 	*ŋat-s {*ŋa[t]-s} 	mow; regulate
易 	易 	yì 	yeH 	y- 	-je 	departing 	*lek-s 	easy
譯 	译 	yì 	yek 	y- 	-jek 	entering 	*lak {*lAk} 	interpret
驛 	驿 	yì 	yek 	y- 	-jek 	entering 	*lak {*lAk} 	post-horse
易 	易 	yì 	yek 	y- 	-jek 	entering 	*lek 	change; exchange
蜴 	蜴 	yì 	yek 	y- 	-jek 	entering 	*lek 	lizard
亦 	亦 	yì 	yek 	y- 	-jek 	entering 	*m-qak {*m-q(r)Ak} 	armpit
亦 	亦 	yì 	yek 	y- 	-jek 	entering 	*ɢak {*ɢ(r)Ak} 	also
異 	异 	yì 	yiH 	y- 	-i 	departing 	*ɢək-s {*[ɢ]ək-s} 	different
异 	异 	yì 	yiH 	y- 	-i 	departing 	*ɢək-s {*ɢ(r)ək-s} 	different
翊 	翊 	yì 	yik 	y- 	-ik 	entering 	*N.rək {*[N].rəp} (dial. › *-k) 	next day
翌 	翌 	yì 	yik 	y- 	-ik 	entering 	*N.rəp {*[N].rəp} 	next day
弋 	弋 	yì 	yik 	y- 	-ik 	entering 	*lək 	shoot arrow with string attached
翼 	翼 	yì 	yik 	y- 	-ik 	entering 	*ɢrəp (dial. › -k) 	wing
翌 	翌 	yì 	yik 	y- 	-ik 	entering 	*ɢrəp (dial. › -k) 	wing
溢 	溢 	yì 	yit 	y- 	-it 	entering 	*N-qik {*N-q(r)ik} 	overflow
佾 	佾 	yì 	yit 	y- 	-it 	entering 	*N.rit {*[N.]r[i]t} 	row of dancers
逸 	逸 	yì 	yit 	y- 	-it 	entering 	*lit {*[l]i[t]} 	flee
鎰 	镒 	yì 	yit 	y- 	-it 	entering 	*ɢik {*[ɢ](r)ik} 	(an ancient weight)
役 	役 	yì 	ywek 	y- 	-jwek 	entering 	*ɢʷek 	war expedition; service
疫 	疫 	yì 	ywek 	y- 	-jwek 	entering 	*ɢʷek 	epidemic
陰 	阴 	yīn 	ʔim 	ʔ- 	-im 	even 	*qum {*q(r)[u]m} 	dark
音 	音 	yīn 	ʔim 	ʔ- 	-im 	even 	*qəm {*[q](r)[ə]m} 	sound, tone
慇 	慇 	yīn 	ʔjɨn 	ʔ- 	-jɨn 	even 	*ʔən {*ʔə[n]} 	grieved
殷 	殷 	yīn 	ʔjɨn 	ʔ- 	-jɨn 	even 	*ʔər 	(dynastic name)
殷 	殷 	yīn 	ʔjɨn 	ʔ- 	-jɨn 	even 	*ʔər {*ʔə[r]} 	ample, many
愔 	愔 	yīn 	ʔjim 	ʔ- 	-jim 	even 	*qim {*[q]im} 	mild, peaceful
垔 	垔 	yīn 	ʔjin 	ʔ- 	-jin 	even 	*qin {*[q]i[n]} 	dam up, block; mound
禋 	禋 	yīn 	ʔjin 	ʔ- 	-jin 	even 	*qin {*[q]i[n]} 	sacrifice
陻 	陻 	yīn 	ʔjin 	ʔ- 	-jin 	even 	*qin {*[q]i[n]} 	dam up, block; mound
因 	因 	yīn 	ʔjin 	ʔ- 	-jin 	even 	*ʔin {*ʔi[n]} 	rely on
吟 	吟 	yín 	ngim 	ng- 	-im 	even 	*m-qʰəm {*m-qʰ(r)[ə]m} 	chant, intone
誾 	訚 	yín 	ngin 	ng- 	-in 	even 	*ŋrən {*[ŋ]rə[n]} (‹ uvular?) 	affable, reasonable
銀 	银 	yín 	ngin 	ng- 	-in 	even 	*ŋrən {*ŋrə[n]} 	silver
垠 	垠 	yín 	ngjɨn 	ng- 	-jɨn 	even 	*ŋər {*[ŋ]ər} 	raised border, dike
圻 	圻 	yín 	ngjɨn 	ng- 	-jɨn 	even 	*ŋər {*[ŋ]ər} 	raised border, dike
寅 	寅 	yín 	yij 	y- 	-ij 	even 	*ɢər {*[ɢ](r)ər} 	3rd earthly branch
㸒 	㸒 	yín 	yim 	y- 	-im 	even 	*N.rəm {*[N.]r[ə]m} 	to covet
淫 	淫 	yín 	yim 	y- 	-im 	even 	*N.rəm {*N.r[ə]m} 	excess
寅 	寅 	yín 	yin 	y- 	-in 	even 	*ɢər {*[ɢ](r)ər} 	3rd earthly branch
夤 	夤 	yín 	yin 	y- 	-in 	even 	*ɢər {*[ɢ[(r)ə[r]} 	small of the back, region of the reins
飲 	饮 	yǐn 	ʔimX 	ʔ- 	-im 	rising 	*qəmʔ {*q(r)[ə]mʔ} 	drink (v.)
隱 	隐 	yǐn 	ʔjɨnX 	ʔ- 	-jɨn 	rising 	*ʔənʔ {*[ʔ](r)ə[n]ʔ} 	grieved; suffering
隱 	隐 	yǐn 	ʔjɨnX 	ʔ- 	-jɨn 	rising 	*ʔənʔ {*[ʔ](r)ə[n]ʔ} 	conceal
引 	引 	yǐn 	yinH 	y- 	-in 	departing 	*linʔ-s {*li[n]ʔ-s} 	draw the bow
引 	引 	yǐn 	yinX 	y- 	-in 	rising 	*linʔ {*li[n]ʔ} 	draw the bow
蚓 	蚓 	yǐn 	yinX 	y- 	-in 	rising 	*m-qərʔ {*[m-q](r)ə[r]ʔ} 	earth-worm (khjuw.yinX)
螾 	螾 	yǐn 	yinX 	y- 	-in 	rising 	*m-qərʔ {*[m-q](r)ə[r]ʔ} 	earthworm
尹 	尹 	yǐn 	ywinX 	y- 	-win 	rising 	*m-qurʔ 	govern; governor
蔭 	荫 	yìn 	ʔimH 	ʔ- 	-im 	departing 	*qəm-s {*q(r)[ə]m-s} 	shade
飲 	饮 	yìn 	ʔimH 	ʔ- 	-im 	departing 	*qəmʔ-s {*q(r)[ə]mʔ-s} 	give to drink
隱 	隐 	yìn 	ʔjɨnH 	ʔ- 	-jɨn 	departing 	*ʔərʔ-s {*ʔ(r)ə[r]ʔ-s} 	lean on
印 	印 	yìn 	ʔjinH 	ʔ- 	-jin 	departing 	*qiŋ-s {*[q]i[ŋ]-s} 	seal
胤 	胤 	yìn 	yinH 	y- 	-in 	departing 	*[ɢ]ər-s {*[ɢ]ə[n]-s} 	descendants
罌 	罂 	yīng 	ʔɛng 	ʔ- 	-ɛng 	even 	*ʔˁreŋ {*[ʔ]ˁreŋ} 	jar, vase
罃 	罃 	yīng 	ʔɛng 	ʔ- 	-ɛng 	even 	*ʔˁreŋ {*[ʔ]ˁreŋ} 	[in proper name]
膺 	膺 	yīng 	ʔing 	ʔ- 	-ing 	even 	*qəŋ {*[q](r)əŋ} 	breast(plate); oppose
鷹 	鹰 	yīng 	ʔing 	ʔ- 	-ing 	even 	*qəŋ {*[q](r)əŋ} 	eagle, falcon
英 	英 	yīng 	ʔjæng 	ʔ- 	-jæng 	even 	*ʔraŋ 	flower, blossom
嬰 	婴 	yīng 	ʔjieng 	ʔ- 	-jieng 	even 	*ʔeŋ 	surround; necklace
嬰 	婴 	yīng 	ʔjieng 	ʔ- 	-jieng 	even 	*ʔeŋ 	baby
纓 	缨 	yīng 	ʔjieng 	ʔ- 	-jieng 	even 	*ʔeŋ 	ribbon
熒 	荧 	yíng 	hweng 	h- 	-weng 	even 	*N-qʷˁeŋ {*[N]-qʷˁeŋ} 	dazzle
迎 	迎 	yíng 	ngjæng 	ng- 	-jæng 	even 	*ŋraŋ 	go to meet
楹 	楹 	yíng 	yeng 	y- 	-jeng 	even 	*leŋ 	pillar
贏 	赢 	yíng 	yeng 	y- 	-jeng 	even 	*ɢeŋ {*[ɢ]eŋ} 	profit; surplus
蠅 	蝇 	yíng 	ying 	y- 	-ing 	even 	*m.rəŋ 	fly (n.)
蠅 	蝇 	yíng 	ying 	y- 	-ing 	even 	*m.rəŋ 	fly (n.)
營 	营 	yíng 	yweng 	y- 	-jweng 	even 	*ɢʷeŋ {*[ɢ]ʷeŋ} 	demarcate, encamp
影 	影 	yǐng 	ʔjængX 	ʔ- 	-jæng 	rising 	*qraŋʔ 	shadow (n.)
郢 	郢 	yǐng 	yengX 	y- 	-jeng 	rising 	*leŋʔ 	[place name]
穎 	颖 	yǐng 	ywengX 	y- 	-jweng 	rising 	*ɢʷeŋʔ {*[ɢ]ʷeŋʔ} 	point of an ear of grain
迎 	迎 	yìng 	ngjængH 	ng- 	-jæng 	departing 	*ŋraŋ-s 	go to meet
癰 	痈 	yōng 	ʔjowng 	ʔ- 	-jowng 	even 	*qoŋ {*q(r)oŋ} 	ulcer
傭 	佣 	yōng 	yowng 	y- 	-jowng 	even 	*loŋ 	hire
咏 	咏 	yǒng 	hjwængH 	h- 	-jwæng 	departing 	*ɢʷraŋ-s {*[ɢ]ʷraŋ-s} 	chant (v.)
詠 	咏 	yǒng 	hjwængH 	h- 	-jwæng 	departing 	*ɢʷraŋ-s {*[ɢ]ʷraŋ-s} 	chant (v.)
泳 	泳 	yǒng 	hjwængH 	h- 	-jwæng 	departing 	*ɢʷraŋ-s {*[ɢ]ʷraŋ(ʔ)-s} 	go in water, wade
永 	永 	yǒng 	hjwængX 	h- 	-jwæng 	rising 	*ɢʷraŋʔ {*[ɢ]ʷraŋʔ} 	long (time)
俑 	俑 	yǒng 	yowngX 	y- 	-jowng 	rising 	*loŋʔ 	grave figures
踊 	踊 	yǒng 	yowngX 	y- 	-jowng 	rising 	*loŋʔ 	leap
勇 	勇 	yǒng 	yowngX 	y- 	-jowng 	rising 	*loŋʔ 	brave
用 	用 	yòng 	yowngH 	y- 	-jowng 	departing 	*m.loŋ-s 	use (v.)
幽 	幽 	yōu 	ʔjiw 	ʔ- 	-jiw 	even 	*ʔiw {*[ʔ](r)iw} 	dark; secluded
優 	优 	yōu 	ʔjuw 	ʔ- 	-juw 	even 	*ʔu {*ʔ(r)u} 	entertainer; liberal
攸 	攸 	yōu 	yuw 	y- 	-juw 	even 	*liw 	place where
悠 	悠 	yōu 	yuw 	y- 	-juw 	even 	*liw 	long-brooding
尤 	尤 	yóu 	hjuw 	h- 	-juw 	even 	*ɢʷə {*[ɢ]ʷə} 	fault; even more
訧 	訧 	yóu 	hjuw 	h- 	-juw 	even 	*ɢʷə {*[ɢ]ʷə} 	fault, blame
游 	游 	yóu 	yuw 	y- 	-juw 	even 	*N-ru {*[N-]ru} 	float, swim
由 	由 	yóu 	yuw 	y- 	-juw 	even 	*lu {*l[u]} 	follow; from
猶 	犹 	yóu 	yuw 	y- 	-juw 	even 	*ɢu {*[ɢ(r)]u} 	still, yet
猶 	犹 	yóu 	yuw 	y- 	-juw 	even 	*ɢu {*[ɢ(r)]u} 	similar
遊 	遊 	yóu 	yuw 	y- 	-juw 	even 	*ɢu {*[ɢ](r)u} 	wander about
友 	友 	yǒu 	hjuwX 	h- 	-juw 	rising 	*ɢʷəʔ {*[ɢ]ʷəʔ} 	friend
有 	有 	yǒu 	hjuwX 	h- 	-juw 	rising 	*ɢʷəʔ {*[ɢ]ʷəʔ} 	have, exist
牖 	牖 	yǒu 	yuwX 	y- 	-juw 	rising 	*luʔ {*[l]uʔ} 	window
莠 	莠 	yǒu 	yuwX 	y- 	-juw 	rising 	*luʔ {*[l]uʔ} 	weeds
酉 	酉 	yǒu 	yuwX 	y- 	-juw 	rising 	*m.ruʔ {*[m].ruʔ} 	10th earthly branch
酉 	酉 	yǒu 	yuwX 	y- 	-juw 	rising 	*m.ruʔ 	wine
幼 	幼 	yòu 	ʔjiwH 	ʔ- 	-jiw 	departing 	*ʔiw-s {*[ʔ](r)iw-s} 	young
右 	右 	yòu 	hjuwH 	h- 	-juw 	departing 	*m-qʷəʔ-s ~ *m-qʷəʔ 	right hand
囿 	囿 	yòu 	hjuwH 	h- 	-juw 	departing 	*ɢʷək-s {*[ɢ]ʷək-s} 	park, garden
又 	又 	yòu 	hjuwH 	h- 	-juw 	departing 	*ɢʷəʔ-s {*[ɢ]ʷəʔ-s} 	also, in addition
佑 	佑 	yòu 	hjuwH 	h- 	-juw 	departing 	*ɢʷəʔ-s 	assist
祐 	祐 	yòu 	hjuwX 	h- 	-juw 	rising 	*ɢʷəʔ {*[ɢ]ʷəʔ} 	help, blessing
右 	右 	yòu 	hjuwX 	h- 	-juw 	rising 	*ɢʷəʔ {*[ɢ]ʷəʔ} 	right hand
囿 	囿 	yòu 	hjuwk 	h- 	-juwk 	entering 	*ɢʷək {*[ɢ]ʷək} 	park, garden
紆 	纡 	yū 	ʔju 	ʔ- 	-ju 	even 	*qʷa {*qʷ(r)a} 	bent, crooked
迂 	迂 	yū 	ʔju 	ʔ- 	-ju 	even 	*qʷa {*qʷ(r)a} 	astray; far
迂 	迂 	yū 	hju 	h- 	-ju 	even 	*ɢʷa {*[ɢ]ʷ(r)a} 	bend, deflect; far away
於 	于 	yú 	ʔjo 	ʔ- 	-jo 	even 	*ʔa {*[ʔ]a} 	at (locative preposition)
歈 	歈 	yú 	duw 	d- 	-uw 	even 	*lˁo 	a kind of song
㬰 	㬰 	yú 	gwijH 	g- 	-wij 	departing 	*ɡruj-s {*[ɡ]ruj-s} 	basket
盂 	盂 	yú 	hju 	h- 	-ju 	even 	*ɢʷa {*[ɢ]ʷ(r)a} 	a formation of a hunting party
竽 	竽 	yú 	hju 	h- 	-ju 	even 	*ɢʷa {*[ɢ]ʷ(r)a} 	reed organ
