CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
著		trah	During EZ the character is attested only with the above meaning (Yijing) or as a loan for 宁 *d(h)raʔ q.v. (Shijing). During Late Zhou, however, the standard readings are *trak-s 'place, position', *trak 'to place, put, apply' (MC ṭak, Pek. zhuō / zhāo) and *drak (MC ḍak, Pek. zhuo) 'attach'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1509&root=config	ṭò	ṭah		1622					0045 |n ́	ṭò	ṭö̀	ṭò	zhū	tras (~ -ks)	140	1) сочинять, составлять; 2) очевидный, ясный; 3) известный, знаменитый; 4) отъявленный; [zhuó zháo -zhe] <i>см.</i> ?		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+968&root=config		ṭah
考		khū́	Also used for a homonymous *khūʔ 'to strike; to beat, torture' which was later (since Wei) written with the radical 'hand' (�).			khǝ̄́w	khǝ̄́w		4468					1041 d-i	khā́w	khấw	khā́w	kǎo	khūʔ	125	1) пробовать, проверять; экзаменовать; экзамен; выяснять; ревизовать; исследовать; справиться, найти справку (<i>в словаре</i>); <i>в названиях научных работ</i> "исследование", "к вопросу о..."; 2) долголетняя жизнь; престарелый; покойный отец; 3) бить (<i>в колокол, барабан</i>); 4) завершить, закончить	56.1, 56.2, 56.3		kha`o	khǝ̄́w
箴									6852					0671 n				zhēn		118	1) усовещевать; предостерегать; наставлять; наставление; 2) игла (<i>швейная, медицинская</i>), <i>вм.</i> 針				
茁		trwǝt	There are two other MC readings with c̣- (probably dialectal): MC c̣wạ̈t (FQ 鄒滑) and c̣wet (FQ 側劣).			ṭwit	ṭwǝt		1020					0495 j	ṭwit	ṭwit	ṭwit	zhuó	trut	140	1) пустить ростки (побеги); множиться, разрастаться; 2) физически крепкий	25.1, 25.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+974&root=config		ṭwǝt
床	ṭõ7	ʒ(h)raŋ	Regular Sino-Viet. is sàng.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+381&root=config	ʒ̣(h)aŋ	ʒ̣(h)aŋ		5158			cõ7			ʒ̣(h)aŋ	ʒ̣aŋ	ʒ̣(h)aŋ	chuáng	ʒ́(h)raŋ	53	<i>вм.</i> ...		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1403&root=config	giu'ò'ŋ	ʒ̣(h)aŋ
櫓		rā́	A later attested meaning is 'watch-tower' ( &lt; 'shield-tower'?). For *r- cf. Xiamen lɔ<sup>3</sup>, Chaozhou, Fuzhou lu<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2413&root=config	lā́	rǟ́		1600					0070 e	lā́	ló	lā́	lǔ	rāʔ	75	1) весло; 2) <i>древн.</i> большой щит				rā́
都		tā	Also means: 'a city with outer cities: an administrative center,  residence' > 'capital'. Used also  for  homonymous  words: *tā '(perhaps:) be  elegant', *tā 'oh' (interj.). The  meaning  "all,complete, together" appears in texts since the Three Kingdoms and is probably etymologically a variation of <A HREF="response.cgi?&single=1&root=config&basename=/usr/local/share/starling/data/china/bigchina.dbf&text_recno=3988" target="_blank"> 諸</A> *ta 'many, all' q.v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1313&root=config	tō	tā		2145	tu	to;tsu;miyako;atsumeru;atsumaru;suberu;subete;aa		to	0045 |e ́-g ́	tō	to	tō	dōu dū	tā	163	1) все; все; всегда; везде; 2) все равно; <i>грамматическое слово перед сказуемым, указывает, что действие его распространяется на все подлежащие или на все обстоятельства в равной мере</i>; и то, все равно; 3) вообще; в общем; [dū] 1) столица; крупный город; 2) изящный; утонченный; 3) прекрасный, благоустроенный; 4) <i>древн.</i> крупный район, крупная область; 5) бормотать, <i>см.</i> 嘟; 6) Ду (<i>фамилия</i>)	53.2_		d_ô	tā
憤		b(h)ǝ́n			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1985&root=config	b(h)wɨ́n	b(h)wǝ́n		8004					0437 n	b(h)wɨ́n	bǘn	b(h)wɨ́n	fèn	b(h)ǝrʔ	61	1) воодушевляться; воодушевление, пыл, рвение, подъем; 2) возмушаться, негодовать; возмущение, негодование; 3) сердиться, гневаться; ненавидеть, не терпеть, <i>см.</i> 忿		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+354&root=config		b(h)ǝ́n
鉸									6373									jiǎo		167	1) скрепа, заклепка; 2) дверной шпингалет; дверные петли, шарнир; 3) ножницы; вырезать, выстригать				
枋		paŋ	Also read *praŋ-s, MC pàiŋ, Pek. bìng 'handle'.			pwaŋ	pwaŋ		0					0740 k	pwaŋ	pwaŋ	pwaŋ	fāng	paŋ	0					paŋ
兆		Łhéw	The basic reading of the character is a homonymous *Łhewʔ (~-a-) 'omen, picture of cracks on oracle bone'; it is attested, however, only since Late Zhou.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+226&root=config	dhjéw	lhjáw		7516					1145 a	dhjéw	ḍéw	dhjéw	zhào	Łhewʔ (~ -a-)	10	1) предвестье, признак; предсказание; гадание; 2) миллион; сто миллионов; мириады, великое множество; 3) Чжао (<i>фамилия</i>)			triệu	Łhjáw
綱					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1880&root=config				3732					0697 e				gāng		120	1) главная веревка невода; 2) глава; начало; 3) основа, устои; руководящие начала; суть; 4) гильдия				
奢		tia				ća	ćä		1624					0045 e-f	ća	śa	ća	shē	tia	37	1) расточительствовать, мотать; жить в роскоши; роскошь; 2) чрезмерный; чересчур большой				tia
賒		ƛia				śa	śä		8198					0082 s-t	śa	śa	śa	shē	ƛia	154	1) покупать (продавать) в кредит; 2) отодвинуть; отдалить; 3) далекий; долгий; 4) расточительный, <i>вм.</i> 奢		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1864&root=config		l̥ia
臧		cāŋ	Xiesheng suggests *ć-, but this is one of the very few cases when external evidence contradicts internal reconstruction of palatals (see below); thus OC *cāŋ is also not to be excluded.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1892&root=config	cāŋ	cāŋ		6887					0727 |f ́	cāŋ	câŋ	cāŋ	zāng	ćāŋ	131	1) добрый, прекрасный; хвалить; 2) добыча, награбленное добро; 3) раб, слуга; 4) Цзан (<i>фамилия</i>)	33.4_, 50.2_, 54.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1135&root=config		cāŋ
仡									0					0517 m-n				yì		0					
堇									414					0480 e-i				jǐn		32	1) клейкая глина; 2) трудолюбивый; 3) искренний, <i>вм.</i> 勤; 4) только, <i>вм.</i> 僅				
心	sẽ4	sǝm	Standard Sino-Viet. is tâm.	śi5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=++91&root=config	sjim	sjǝm		8334			śĩ4		0663 a-b	sjim	sjim	sjim	xīn	sǝm	61	1) сердце; душа, дух; всем сердцем, всей душой; 2) ум, разум; мысль; воля; чувства; желания; настроения, намерения; 3) центр, середина; 4) колючка (<i>дерева</i>)	7.3_, 14.1, 14.2, 14.3, 26.2, 26.3, 26.4, 26.5, 27.1, 27.2, 27.4, 28.3_, 28.4, 30.1, 31.2, 32.1_, 32.4_, 33.2_, 35.1_, 35.2, 40.1, 44.1, 50.3, 54.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1503&root=config	tim	sǝm
谷		kōk			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+453&root=config	kōk	kōk		1361					1202 a-c	kwōk	kuk	kōk	gǔ	klōk	150	1) русло горного потока; ущелье, дефиле; 2) быть в очень стесненном положении	2.1_, 35.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2190&root=config	cốc	kōk
崴									0					0574 d				wei		0					
攜		w(h)ē				w(h)iēj	w(h)iē		3814					0880 c	w(h)iēj	ɣwiej	w(h)iēj	xié	w(h)ē	64	1) держать за руку, вести; 2) иметь при себе, нести; 3) отстоять; 4) соединять[ся]; и, с	41.1, 41.2, 41.3			w(h)ē
盼		phrǝ̄nh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+817&root=config	phǝ̣̄̀n	phrǝ̄nh		4193					0471 x	phiǝ̣̄̀n	phạ̈̀n	phiǝ̣̄̀n	pàn	phrǝ̄ns	109	1) надеяться, ждать; желать; 2) красивый, ясный (<i>о глазах</i>)	57.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+273&root=config		phrǝ̄nh
隓		l(h)wā́j				d(h)wā́	l(h)wǟ́		0					0011 a	d(h)wā́	dwấ	d(h)wā́	duò	l(h)ōjʔ	0					l(h)wā́j
犉		n(h)un				ń(h)un	ń(h)un		0					0464 m	ń(h)un	ńwin	ń(h)un	rún	n(h)ur	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+621&root=config		n(h)un
羌		khaŋ	Attested already in Shijing, but absent from Schüssler's dictionary. During Late Zhou (in Chuci) used also for a homonymous interjection.			khaŋ	khaŋ		7353	kau	kō;kyō;ebisu;aa		kiyau	0712 a-d	khaŋ	khaŋ	khaŋ	qiāng	khlaŋ	123	1) цян (<i>народность на западе Китая</i>); 2) <i>древн.</i> а, ведь (<i>в начале фразы</i>); 3) <i>древн.</i> тогда, то, в таком случае, <i>вм.</i> 乃; 4) Цян (<i>фамилия</i>)				khaŋ
堆		twǝ̄j	Viet. doi is colloquial (used in the sense 'promontory, headland');  another probable loan from the same source is Viet. d_ồi 'hill'. Regular  Sino-Viet. is d_ôi.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1123&root=config	twǝ̄j	twǝ̄j		855					0575 z	twǝ̄j	toj	twǝ̄j	duī	tūj	32	наваливать, нагромождать, сваливать в кучу; куча, горка		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+946&root=config	doi	twǝ̄j
鞭		pen			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2394&root=config	pjen	pjan		6428					0221 c	pjen	pjen	pjen	biān	pen	177	1) плеть, нагайка; бить плетью; 2) ракета, хлопушка				pjan
變	-pẽr2	pranh	Probably from earlier *pron-s.	pi3	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2558&root=config	pèn	pranh		6325			pĩ2		0178 o.	pèn	pèn	pèn	biàn	prans	120	1) изменять(ся); превращать(ся); изменение (<i>особенно к худшему</i>); метаморфоза; видоизмененный, ненормальный; 2) неожиданное событие, переворот; бунт, мятеж; беспорядки; 3) бедствие, беда; 4) чрезвычайный, ненормальный; необыкновенный; 5) подлаживаться, приспособляться; применяться; 6) <i>муз.</i> понижение тона, бемоль			biến	pranh
鳥		tī́w	Initial n- in Mand. is quite enigmatic.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1331&root=config	tiḗw	tiǝ̄́w		4490					1116 a	tiḗw	tíew	tiḗw	niǎo	tīwʔ	196	птица; птичий; птичий полет; в форме птицы, птицеобразный	2.1, 32.4	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+932&root=config	d_iê`u	tjǝ̄́w
獸		tuh	Probably same word as 狩 *tuʔs 'to hunt' (q.v.).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2416&root=config	ćǝ̀w	ćǝwh		4952					1100 a-f	ćǝ̀w	śǝ̀w	ćǝ̀w	shòu	tuʔs	94	дикий зверь; животное			thú	tǝwh
翳		ʔīć	Also read *ʔīj, MC ʔiej (FQ 烏系). The basic meaning of the character is 'shade, protection; darkness, purblind', but it is attested only since Late Zhou.			ʔiēś	ʔiǝ̄ś		3344	ai	ai;ei;kage;kageri		ei	0589 f	ʔiḕj	ʔìej	ʔiḕj	yì	ʔījs	124	1) бельмо, катаракта; 2) скрывать, прятать; затенять; 3) большой веер				ʔjǝ̄ś
妥		n̥wā́j			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+369&root=config	thwā́	n̥wǟ́		8866					0354 a-c	thwā́	thwấ	thwā́	tuǒ	snōjʔ	38	1) прочный, крепкий; 2) покойный, удобный; 3) надлежащий, подходящий; сообразный; <i>суффикс глаголов, указывающий на удовлетворительный результат действия</i>				n̥wā́j
鞍	e4	ʔān	Standard Sino-Viet. is an. Phonetically yên is interesting: cf. an analogical relation between 安 *ʔān and 燕 *ʔēn-s 'peaceful, calm'.	-a5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2115&root=config	ʔān	ʔān		8830			ã4			ʔān	ʔân	ʔān	ān	ʔān	177	седло; седлать		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2103&root=config	yên	ʔān
斤	ćĩ4	kǝn	Another Early Zhou reading attested is *kǝrs (MC kɨ̀n, Mand. jìn) in the  reduplication *kǝrs-kǝrs 'to be clear-sighted'.     Already in L. Zhou the graph occurs with the meaning 'balance, to weigh,  measure of weight'; it is not clear whether this meaning is in any way  related to the original meaning 'axe'.	će5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=++98&root=config	kɨn	kǝn		1975			ćĩ4		0443 a-c	kɨn	kɨn	kɨn	jīn	kǝr	69	1) цзинь (<i>китайский фунт, равный 0,6 кг</i>); 2) вес; весы; 3) топор, сечка; рубить; врубать(ся); 4) проникать, уяснять		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2024&root=config	cân	kǝn
永		wráŋ	For *w- cf. Min forms: Xiamen, Fuzhou iŋ<sup>3</sup>, Chaozhou ioŋ<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+187&root=config	wéŋ	wréŋ		5515					0764 a-f	wéŋ	wä́iŋ	wéŋ	yǒng	wraŋʔ	85	1) вечный; навечно, навсегда; <i>с отрицанием</i> никогда; 2) продолжительный; постоянный; надолго	3.2, 3.3, 9.1_, 9.2_, 9.3_, 39.4, 56.1, 56.2, 56.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2557&root=config		wráŋ
雚									919									guàn		172	цапля, <i>см.</i> 鸛				
指	-čer1-	kíj	Hsieh-sheng and initial ć- &lt; *k- point to an *-i-vowel in OC; however,  the only Shijing rhyme (51.1) points rather to *-ǝjʔ, and hence, *tǝjʔ.  Not quite clear.	-ci1-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+749&root=config	kjíj	kjǝ́j		1581			-ci1		0552 f	kjí	ćí	kjíj	zhǐ	kijʔ	64	1) палец; 2) показывать; указывать; иметь в виду; 3) опираться на...; полагаться на...; зависеть от...; 4) определять, назначать; направлять; 5) план; стремление; 6) значение, смысл; 7) <i>см.</i> 旨	51.1_		chi`	kjǝ́j
冔		w̥á				hjwó	hjwá		0					0097 |d ́	hjwó	xǘ	hjwó	xǔ	swaʔ	0					w̥á
保		pū́	Sch.: probably s. etymon as 寶 ('consider precious').		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+680&root=config	pǝ̄́w	pǝ̄́w		5182					1057 a-e	pā́w	pấw	pā́w	bǎo	pūʔ	9	1) защищать, охранять; сохранять; 2) обеспечить, гарантировать, поручиться, взять на себя ответственность (<i>за что-л.</i>); поручитель; поручительство; залог; 3) содержать, кормить, поддерживать; покровительствовать; выдвигать, представлять, рекомендовать; 4) успокаивать; 5) работник (<i>наемный</i>); 6) бао (<i>единица деревенской организации по системе круговой поруки</i>); 7) <i>сокр.</i> Болгария			ba`o	pǝ̄́w
怭		b(h)it				b(h)jit	b(h)jǝt		0					0405 d	b(h)jit	bjit	b(h)jit	bì	b(h)it	0					b(h)jǝt
類		rwǝć				lwɨś	rwǝś		8108						lwɨ̀j	lwì	lwɨ̀j	lèi	ruts	181	1) род, порода; вид, группа, класс, разряд; сорт, категория; 2) классифицировать; классификация; сортировка; 3) похожий, подобный; сходный, аналогичный; быть похожим; 4) наподобие, вроде; 5) вообще, в основном; по большей части; 6) <i>древн.</i> пристрастный, несправедливый; 8) Лэй (<i>фамилия</i>)				rwǝś
診					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1525&root=config				4097					0453 l				zhěn		149	1) осматривать (<i>больного</i>); ставить диагноз; 2) наблюдать, исследовать				
睩									0					1208 g						0					
泰		thāć	A later attested meaning is 'calm, tranquil'. The character is traditionally used for the name of the Thai people and country.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+978&root=config	thāś	thāś		5550					0316 a	thā̀j	thầj	thā̀j	tài	thāts	85	1) великое спокойствие, мир; спокойный; сойтись, слиться в гармонии; 2) счастье; счастливый; благополучие; благоприятный; 3) великий; чрезмерный; расточительный; слишком, весьма, <i>вм.</i> 太; 4) Тайшань (<i>горы</i>); 5) Таи, Таиланд; 6) 9-е число (<i>в телеграммах</i>); 7) Тай (<i>фамилия</i>)			thái	thāś
癰		ʔoŋ				ʔoŋ	ʔoŋ		898					1184 l	ʔoŋ	ʔöuŋ	ʔoŋ	yōng	ʔoŋ	104	нарыв, фурункул		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1999&root=config	ung	ʔoŋ
悼		d(h)āwh				d(h)ā̀w	d(h)āwh		2263					1126 l	d(h)ā̀w	dầw	d(h)ā̀w	dào	d(h)ākʷs	61	печалиться, скорбеть, сокрушаться; жалеть, сочувствовать	30.1_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2809&root=config		d(h)āwh
作	ci4	cāk	Also read *ćāk-s, MC (irregularly) cầ (FQ 則箇) id.	cü4	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+321&root=config	cāk	cāk		2031			cu4		0806 l	cāk	câk	cāk	zuò zuō zù	ćāk	9	1) делать; создавать, творить; писать (<i>книгу</i>); 2) действовать; приниматься за...; воодушевлять(ся); 3) вставать, возникать; появляться; 4) быть, являться; принимать (считать) за...; [обращаться] как с...; в качестве; 5) быть в ходу, обращаться; действовать; 6) разразиться; [zuō] 1) ремесленник; рабочий; работа; 2) место работы; 3) навлечь на себя	50.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1326&root=config		cāk
物		mhǝt	For *mh cf. Jianou o<sup>7</sup>, Longdu muat<sup>7</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+630&root=config	mhwɨt	mhwǝt		4377					0503 h-i	mhwɨt	müt	mhwɨt	wù	mhǝt	93	1) вещь, предмет; тело; продукт; товар; материя, вещество; материальный, вещественный; объективный; 2) дело, обстоятельство; 3) разыскивать, искать, исследовать; 4) значок, символ; 5) 5-у число (<i>в телеграммах</i>)			vật	mhǝt
客	-qha6	khrāk	Cf. PA *kàra ( ~ k`-) 'opposite, enemy' (PT *karak 'robber').	kher6-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+718&root=config	khẹ̄k	khrāk		1408			khɛ6-		0766 |d ́-f ́	khẹ̄k	khạ̈ik	khẹ̄k	kè	khrāk	40	1) гость; посетитель; покупатель; 2) приезжий; путешественник; пассажир; 3) чужеземный; иностранец; 4) останавливаться, гостить			khách	khrāk
妄		m(h)aŋh				m(h)wàŋ	m(h)waŋh		8799					0742 g-h	m(h)wàŋ	mwàŋ	m(h)wàŋ	wàng	m(h)aŋs	38	1) безрассудный, опрометчивый; 2) безалаберный; беспорядочный; 3) беспутный; несуразный; сумасбродный; 4) всякий, все, <i>вм.</i> 凡				m(h)aŋh
妒		tāh				tṑ	tāh		4136					0795 n-o	tṑ	tò	tṑ	dù	tās (~ -ks)	38	1) завидовать; зависть; 2) ревновать; ревность			d_ố	tāh
繭		kī́n	Regular Sino-Viet. is kiê`n.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2427&root=config	kiḗn	kiǝ̄́n		3931						kiḗn	kíen	kiḗn	jiǎn	kīnʔ (~ -ēnʔ)	120	1) кокон (<i>шелковичного червя</i>); куколка (<i>бабочки</i>); 2) волдыри (мозоли) на ногах			kén	kjǝ̄́n
薛		sŋ̥et	The original meaning is 'name of a plant', attested only since Han.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2302&root=config	s(h)jet	s(h)jat		2418					0289 d-e.	s(h)jet	sjet	s(h)jet	xuē xiē	sŋhet	140	1) Сюе (<i>фамилия</i>); 2) <i>ист.</i> Се (<i>название княжества</i>); 3) полынь				sŋ̥jat
雄		whǝŋ	For *wh- cf. Min forms: Xiamen hiɔŋ<sup>2</sup>, Chaozhou hioŋ<sup>2</sup>, Fuzhou hüŋ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1564&root=config	whɨŋ	whǝŋ		907					0887 l	whɨŋ	ɦüŋ	whɨŋ	xióng	whǝŋ	172	1) петух; птица-самец; самец; 2) мужественный, сильный; воинственный; геройский	33.1, 33.2			whǝŋ
稗		bhrēh	Attested since Late Zhou. Cf. 粺. For *bh- cf. Chaozhou phõĩ<sup>6</sup>, Fuzhou phä<sup>5</sup>, Jianou phai<sup>6</sup>.			bhiẹ̄̀	bhriēh		0					0874 s	bhiẹ̄̀	bạ̈̀	bhiẹ̄̀	bài	bhrēs	0					bhrēh
紙	čẽr1	te	Regular Sino-Viet. is chi`.	ci1	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1033&root=config	će	će		6688			ci1			će	ćé	će	zhǐ	tej	120	1) бумага; бумажный; 2) <i>счетный суффикс для писем</i>			giấy	te
膏		kāw	Also read OC *kāw-s, MC kầw id.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1890&root=config	kāw	kāw		3536					1129 i	kāw	kâw	kāw	gāo	kāw	130	1) сало, жир; <i>перен.</i> соки; 2) паста, мазь; опиумная паста; 3) жирный, тучный; 4) благодеяния, милости; 5) сладкий			cao	kāw
購		kōh	Probably etymologically = 遘, 覯 q.v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2313&root=config	kṑw	kwāh		4028	ku	kō;aganau		kou	0109 k	kǝ̄̀w	kʌ̀w	kǝ̄̀w	gòu	kōs	154	1) купить; 2) подкупать, обещать награду				kwāh
店		tēmh	Viet. tiệm is a colloquial loan; standard Sino-Viet. is d_iếm.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+547&root=config	tjèm	tjamh		1264						tjèm	tìem	tjèm	diàn	tēms	53	1) лавка; магазин; 2) гостиница; постоялый двор; трактир			tiệm	tjamh
孱		ʒ(h)ren	Also read *ʒ́(h)rēn, MC ʒ̣ạ̈n, Pek. chán id.			ʒ̣(h)jen	ʒ̣(h)jan		3040					0208 a	ʒ̣(h)jen	ʒ̣en	ʒ̣(h)jen	chán	ʒ́(h)ren	39	1) слабый, болезненный; 2) плохой, дурной				ʒ̣(h)jan
駭									7817					0937 y				hài		187	1) испугаться, шарахнуться от испуга; понести (<i>о лошади</i>); 2) пугающий, страшный; 3) обеспокоить, встревожить; 4) изумляться; 5) рассыпаться, рассеиваться				
鑾		r(h)wān	Attested in bronze inscriptions.			l(h)wān	r(h)wān		381					0178 f-g	l(h)wān	lwân	l(h)wān	luán	r(h)ōn	167	колокольчики, бубенцы				r(h)wān
賄		m̥ǝ̄́	The original phonetic (in bronze inscriptions) was 每 *mǝ̄ʔ.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1734&root=config	hwǝ̄́	m̥ǝ̄́		3508					0995 z	hwǝ̄́j	xój	hwǝ̄́	huǐ	smǝ̄ʔ	154	1) взятка, подкуп; 2) богатство; 3) 10-е число (<i>в телеграммах</i>)	58.2			m̥ǝ̄́
眨									6443									zhǎ		109	мигать, подмигивать, перемигиваться				
與		lá	A somewhat later (but attested already in L.Zhou) reading is *laʔ-s, MC jö̀ (FQ 羊茹), Mand. yù, Viet. dụ' 'to participate, take part'. The character 與 is also used in Shijing for OC *la (MC jö, FQ 以諸, Mand. yú), translated by Schüssler as: "perhaps: be rich". A reading *lha (MC jö, Pek. yú) is attested since Late Zhou as a contraction of 也 + 乎 (*lhiaj + *wā).  For etymology cf. 以.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1893&root=config	źó	źá		7880	yo	yo;ataeru;kumisuru;azukaru;tomoni;to;yori		yo	0089 b-d	jó	jö́	jó	yǔ	laʔ	12	1) давать, предоставлять; <i>управляет косвенным дополнением, переводимым дательным падежом, вм.</i> 給; 2) для, за, <i>вм.</i> 為; 3) вступать в союз; союзный; компания, содружество; помогать; ободрять; быть в хороших отношениях; быть заодно; 4) и; <i>союз между существительными</i>, <i>вм.</i> 和; 5) или; <i>разделительный союз между глаголами</i>; 6) с; 7) чем; или лучше; 8) следовать, слушаться; 9) ждать, ожидать; 10) принимать, обращаться с...; 11) Юй (<i>фамилия</i>); [yù] 1) участвовать в...; 2) вместе с ним; [yú] <i>конечная вопросительная частица</i>, <i>вм.</i> 歟	21.2, 22.2_, 31.2, 31.4, 37.2_, 37.3, 39.1, 39.4, 50.2, 58.3		dũ'	lá
溢									709									yì		85	1) переливаться (<i>через край</i>); быть переполненным; чрезмерный; полная пригоршня; 2) мера веса в 24 лана				
蓍									1590					0552 q				shī		140	<i>бот.</i> тысячелистник сибирский (Achillea sibirica)				
澮									1523									kuài		85	арык, оросительный канал (<i>на поле</i>)				
伊		ʔij	A rather universal personal stem, thus Viet. is not necessarily borrowed.			ʔjij	ʔjǝj		4146					0604 a-c	ʔji	ʔji	ʔjij	yī	ʔij	9	1) <i>вост. диал.</i> он; тот; 2) она; 3) <i>звукоподражание, см.</i> 咿; 4) <i>сокр.</i> г. Кульджа	24.3, 33.1, 35.2, 35.6	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1990&root=config	y	ʔjǝj
骫		ʔwán				ʔwén	ʔwán		0					0163 e	ʔwén	ʔwé	ʔwén	wěi	ʔʷarʔ	0					ʔwán
凔									1126					0703 c				cāng		15	холодно; холодный (<i>о погоде</i>)				
紱		pǝt				pwɨt	pwǝt		0					0276 k	pwɨt	püt	pwɨt	fú	pǝt	0					pǝt
飲	ɨ̃1	ʔǝ́m	Also read *ʔǝmʔ-s, MC ʔìm (FQ 於禁) 'to give to drink'.	ɣɨ1	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1571&root=config	ʔím	ʔǝ́m		4810			ɨ̃1		0654 a	ʔím	ʔím	ʔím	yǐn	ʔǝmʔ	184	1) пить, глотать; напиток; выпивать; выпивка; 2) скрывать, таить в себе; 3) подвергнуться, пострадать от...; 4) утопить, погрузить(ся); [yìn] поить	39.2, 39.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1992&root=config		ʔǝ́m
